Date,Adj Close,Close,High,Low,Open,Volume
2020-09-07,9430.287109375,10092.400390625,10170.650390625,10005.5,10016.0498046875,4719
2020-09-08,9426.87890625,10088.75,10160.0,10042.0498046875,10092.400390625,2038
2020-09-09,9494.2021484375,10160.7998046875,10169.900390625,10032.0498046875,10086.9501953125,3370
2020-09-10,9445.7529296875,10108.9501953125,10184.7998046875,9950.2001953125,10160.0,5260
2020-09-11,9368.24609375,10026.0,10173.75,10005.0,10082.0,2770
2020-09-14,9341.61328125,9997.5,10134.9501953125,9980.0,10100.0,5382
2020-09-15,9420.2431640625,10081.650390625,10150.0,10000.0498046875,10000.0498046875,4904
2020-09-16,9379.6904296875,10038.25,10161.9501953125,10010.0498046875,10129.9501953125,3694
2020-09-17,9322.037109375,9976.5498046875,10099.9501953125,9960.0498046875,10099.0,2797
2020-09-18,9252.8935546875,9902.5498046875,10038.400390625,9861.25,10038.400390625,4118
2020-09-21,9222.9462890625,9870.5,9948.5498046875,9737.25,9895.0,8602
2020-09-22,9291.296875,9943.650390625,9974.0,9691.400390625,9868.0,4498
2020-09-23,9305.685546875,9959.0498046875,10100.0,9840.099609375,10000.0,1951
2020-09-24,9208.1806640625,9854.7001953125,9959.0498046875,9812.7998046875,9959.0498046875,5191
2020-09-25,9247.0537109375,9896.2998046875,9970.0,9761.0,9856.2998046875,7343
2020-09-28,9238.7841796875,9887.4501953125,9976.0498046875,9864.5,9940.0,2380
2020-09-29,9223.927734375,9871.5498046875,10010.099609375,9867.900390625,9907.7998046875,8426
2020-09-30,9294.1455078125,9946.7001953125,9969.0,9880.099609375,9950.0,2622
2020-10-01,9219.2099609375,9866.5,9987.900390625,9780.5498046875,9935.150390625,7698
2020-10-05,9245.138671875,9894.25,10000.0,9832.2998046875,9910.0,5266
2020-10-06,9224.5810546875,9872.25,9946.2001953125,9825.0,9946.099609375,15731
2020-10-07,9283.494140625,9935.2998046875,9949.849609375,9861.400390625,9946.0,13808
2020-10-08,9290.4111328125,9942.7001953125,9976.4501953125,9860.0498046875,9932.0,7318
2020-10-09,9317.2744140625,9971.4501953125,9990.0,9862.2998046875,9976.0,2539
2020-10-12,9345.1171875,10001.25,10026.0498046875,9938.0,9961.150390625,2936
2020-10-13,9463.1318359375,10127.5498046875,10168.0,9961.150390625,10040.0,4474
2020-10-14,9435.5673828125,10098.0498046875,10148.349609375,10018.0,10122.0,4296
2020-10-15,9413.1904296875,10074.099609375,10135.0,9973.349609375,10135.0,8392
2020-10-16,9449.068359375,10112.5,10159.0,10018.4501953125,10069.9501953125,5043
2020-10-19,9483.689453125,10149.5498046875,10180.0,10076.099609375,10180.0,1420
2020-10-20,9422.345703125,10083.900390625,10168.7001953125,10000.0,10096.0498046875,4007
2020-10-21,9486.8193359375,10152.900390625,10180.0,10042.2998046875,10042.2998046875,4902
2020-10-22,9595.58203125,10269.2998046875,10325.0,10041.150390625,10144.400390625,4693
2020-10-23,9633.51953125,10309.900390625,10325.0,10191.0498046875,10300.0,6592
2020-10-26,9702.4775390625,10383.7001953125,10460.0,10209.900390625,10301.0,3905
2020-10-27,9707.009765625,10388.5498046875,10459.9501953125,10242.099609375,10459.9501953125,2939
2020-10-28,9681.732421875,10361.5,10444.9501953125,10247.7998046875,10444.9501953125,2333
2020-10-29,9707.3359375,10388.900390625,10425.0498046875,10300.0,10349.900390625,3158
